         1          1         11
         1          1         22
         1          1         44
         1          1         59
         1          1         79
         1          1         98
         1          2         11
         1          2         22
         1          2         37
         1          2         42
         1          2         44
         1          2         56
         1          2         59
         1          2         68
         1          2         79
         1          2         91
         1          2         98
         1          3         11
         1          3         22
         1          3         37
         1          3         39
         1          3         42
         1          3         44
         1          3         59
         1          3         68
         1          3         79
         1          3         91
         1          3         94
         1          3         98
         1          4         11
         1          4         22
         1          4         37
         1          4         39
         1          4         42
         1          4         45
         1          4         59
         1          4         66
         1          4         68
         1          4         73
         1          4         91
         1          4         94
         1          4         98
         1          5         11
         1          5         19
         1          5         22
         1          5         37
         1          5         39
         1          5         42
         1          5         45
         1          5         56
         1          5         68
         1          5         73
         1          5         91
         1          5         94
         1          5         98
         1          6         11
         1          6         29
         1          6         33
         1          6         37
         1          6         39
         1          6         44
         1          6         45
         1          6         59
         1          6         66
         1          6         71
         1          6         73
         1          6         83
         1          6         94
         1          6         98
         1          7          0
         1          7         11
         1          7         22
         1          7         34
         1          7         37
         1          7         39
         1          7         44
         1          7         45
         1          7         59
         1          7         66
         1          7         73
         1          7         83
         1          7         94
         1          7         98
         1          8          0
         1          8         11
         1          8         29
         1          8         33
         1          8         34
         1          8         37
         1          8         44
         1          8         59
         1          8         66
         1          8         71
         1          8         73
         2          9         11
         2          9         22
         2          9         44
         2          9         59
         2          9         79
         2          9         98
         2         10         11
         2         10         22
         2         10         37
         2         10         42
         2         10         44
         2         10         53
         2         10         56
         2         10         59
         2         10         68
         2         10         73
         2         10         79
         2         10         91
         2         10         98
         2         11         11
         2         11         22
         2         11         37
         2         11         39
         2         11         44
         2         11         45
         2         11         53
         2         11         56
         2         11         59
         2         11         66
         2         11         68
         2         11         73
         2         11         91
         2         11         94
         2         11         98
         2         12         11
         2         12         22
         2         12         33
         2         12         37
         2         12         39
         2         12         42
         2         12         44
         2         12         45
         2         12         56
         2         12         59
         2         12         68
         2         12         73
         2         12         91
         2         12         94
         2         12         98
         2         13         11
         2         13         19
         2         13         22
         2         13         29
         2         13         33
         2         13         37
         2         13         39
         2         13         42
